"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA41465";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv Dublin HWS51";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Dublin HWS51";TRUE;TRUE
"PRJNA64271";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp M6";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Mus musculus";"Mammals";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA72027";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sobrinus";"Streptococcus sobrinus TCI-172";"Catalase negative, Pathogen";"Dental Pathogen";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA1422";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Mycoplasma";"Mycoplasma arthritidis";"Mycoplasma arthritidis 158L3-1";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Arthritis";"Homo sapiens";"";"Host";"Mycoplasma arthritidis 158L3-1";TRUE;TRUE
"PRJNA65047";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira weilii";"Leptospira weillii 2006001853";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA20247";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Ureaplasma";"Ureaplasma urealyticum";"Ureaplasma urealyticum sv. 10 Western";"Pathogen";"Human Pathogen, Medical";"Chorioamnioitis, Infertility, Non-specific urethritis (NSU)";"Homo sapiens";"";"Host, Urogenital tract";"Genome sequence of Ureaplasma parvum";TRUE;TRUE
"PRJNA29297";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Providencia";"Providencia alcalifaciens";"Providencia alcalifaciens sv. 019:H2 DSM 30120";"";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"Gastroenteritis";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA60667";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus CIG1769";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"Human";"Host";"Staphylococcus aureus aureus genomes";TRUE;TRUE
"PRJNA86565";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00909";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA50919";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC2D";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA33825";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli LF82";"Pathogen";"Comparative analysis, Medical";"Enterocolitis";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli genome sequencing - Genoscope";TRUE;TRUE
"PRJNA30653";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Treponema";"Treponema pallidum";"Treponema pallidum pertenue Gauthier";"Pathogen";"Human Pathogen, Medical";"Yaws";"Homo sapiens";"";"Host";"Whole genome sequences of three Treponema pallidum ssp. pertenue strains";TRUE;TRUE
"PRJNA13924";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Mycoplasma";"Mycoplasma genitalium";"Mycoplasma genitalium G37 (re-annotation)";"Parasite, Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Non-gonococcal urethritis, Respiratory infection, Urogenital infection";"Homo sapiens";"Animal";"Host, Urogenital tract";"Mycoplasma genitalium G37";TRUE;TRUE
"PRJNA18083";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli C ATCC 8739";"Non-Pathogen";"";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host";"E. coli strain B";TRUE;FALSE
"PRJNA63749";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV2769";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA19959";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus 03BB108";"Pathogen";"Biothreat, Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Unclassified";"Host, Soil";"Bacillus cereus sequencing - TIGR";TRUE;TRUE
"PRJNA53935";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Aggregatibacter";"Aggregatibacter actinomycetemcomitans";"Aggregatibacter actinomycetemcomitans sv. f D18P1";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Periodontal infection, Periodontitis";"Homo sapiens";"Animal";"Host, Oral cavity";"Aggregatibacter genome sequencing, USC School of Dentistry, USA";TRUE;TRUE
"PRJNA19459";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Schwarzengrund CVM19633";"Nontyphoidal";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"Food production";"Food, Fresh water, Host, Soil";"Salmonella enterica sv Schwarzengrund CVM19633";TRUE;TRUE
"PRJNA18163";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides caccae";"Bacteroides caccae ATCC 43185";"Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Human Pathogen, Medical";"Inflammatory bowel disease";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA51267";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter calcoaceticus";"Acinetobacter calcoaceticus PHEA-2";"Pathogen";"Human Pathogen, Medical";"Nosocomial infection";"Homo sapiens";"Wastewater";"Food, Fresh water, Host, Human skin, Soil";"Acinetobacter calcoaceticus PHEA-2";TRUE;TRUE
"PRJNA16169";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia cenocepacia";"Burkholderia cenocepacia PC184";"Pathogen";"Agricultural, Human Pathogen, Medical, Plant Pathogen";"Pneumonia";"Homo sapiens";"Human";"Host";"Burkholderia cenocepacia PC184";TRUE;TRUE
"PRJEA50377";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";"Listeria";"Listeria monocytogenes";"Listeria monocytogenes sv. 1/2c SLCC 2372";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen, Swine Pathogen";"Abortion, Food poisoning, Listeriosis, Meningitis, Septicemia";"Homo sapiens";"Human";"Food, Fresh water, Host, Intestinal tract, Soil";"Reassessment of the Listeria monocytogenes pan-genome";TRUE;TRUE
"PRJNA18181";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Subdoligranulum";"Subdoligranulum variabile";"Subdoligranulum variabile DSM 15176";"Non-Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA48781";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA41410";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA86583";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00933";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA38311";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Actinomycetaceae";"Actinomyces";"Actinomyces sp. oral taxon 848";"Actinomyces sp. oral taxon 848 F0332";"Pathogen";"Comparative analysis, Human Microbiome Project (HMP), Medical";"Eye infection, Lung infection, Oral abscesses, Septicemia";"Homo sapiens";"Human";"Host, Human intestinal microflora, Human oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA16403";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Haemophilus";"Haemophilus influenzae";"Haemophilus influenzae NTHi PittHH";"Pathogen";"Human Pathogen, Medical";"Chronic bronchitis, Meningitis, Otitis media, Septicemia, Sinusitis";"Homo sapiens";"Human";"Host";"Haemophilus influenzae sequencing - Allegheny-Singer Research Institute";TRUE;TRUE
"PRJNA29655";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus AH621";"Pathogen";"Human Pathogen, Medical";"Food poisoning";"Homo sapiens";"Terrestrial";"Host, Soil";"Bacillus cereus sequencing, Naval Medical Research center";TRUE;TRUE
"PRJNA49821";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans SF1";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA53705";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus VCU006";"";"Medical";"Pneumonia, Septicemia";"";"";"Host, Human airways";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA86179";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae FSL S3-023";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA59915";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 2072047";"Pathogen";"Human Pathogen, Medical";"Meningitis, Otitis media, Pneumonia";"Homo sapiens";"Human";"Host";"Pneumococcal meningitis isolates used for genomic comparisons";TRUE;TRUE
"PRJNA86203";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae FSL S3-003";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA59939";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 2090008";"Pathogen";"Human Pathogen, Medical";"Meningitis, Otitis media, Pneumonia";"Homo sapiens";"Human";"Host";"Pneumococcal meningitis isolates used for genomic comparisons";TRUE;TRUE
"PRJNA12521";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium";"Clostridium perfringens";"Clostridium perfringens SM101";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical, Poultry Pathogen, Swine Pathogen";"Dysenteria, Enterocolitis, Enterotoxemia, Food poisoning, Gas gangrene";"Homo sapiens";"Food production";"Beef food product, Food, Host, Meat food product";"Clostridium perfringens SM101";TRUE;TRUE
"PRJNA89133";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae SPAR95";"";"Medical";"Pneumonia";"Homo sapiens";"Animal";"";"Comparative genome analysis of Streptococcus pneumoniae clinical isolates";TRUE;TRUE
"PRJNA86607";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00986";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA72015";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sobrinus";"Streptococcus sobrinus TCI-160";"Catalase negative, Pathogen";"Dental Pathogen";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA13441";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";"Listeria";"Listeria ivanovii";"Listeria ivanovii ivanovii PAM 55";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Abortion, Stillbirth";"Homo sapiens";"Mammals";"Host";"Listeria ivanovii ivanovii PAM 55";TRUE;TRUE
"PRJNA16376";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis bv. Orientalis IP275";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bubonic and Pneumonic plague";"Homo sapiens";"Human";"Host";"Yersinia pestis bv Orientalis IP275";TRUE;TRUE
"PRJNA19837";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Borrelia";"Borrelia burgdorferi";"Borrelia burgdorferi Bol26";"Pathogen";"Human Pathogen, Medical";"Lyme disease";"Homo sapiens";"";"Host";"Whole-genome sequences of thirteen isolates of Borrelia burgdorferi";TRUE;TRUE
"PRJNA86281";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae LMG 15091";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"Human";"Host";"Streptococcus agalactiae Genome sequencing at Cornell";TRUE;TRUE
"PRJEA28291";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Typhi E00-7866";"Pathogen";"Human Pathogen, Medical";"Typhoid fever";"Homo sapiens";"Human";"Host";"Salmonella enterica enterica sv Typhi E00-7866";TRUE;TRUE
"PRJNA63885";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-43B1";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA72341";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis Nm8187";"Parasite";"Medical";"Meningitis";"Homo sapiens";"Animal";"";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
"PRJNA19139";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Coxiellaceae";"Coxiella";"Coxiella burnetii";"Coxiella burnetii CbuK_Q154";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Food poisoning, Q fever";"Homo sapiens";"Human";"Host";"Coxiella burnetii CbuK_Q154";TRUE;TRUE
"PRJNA30511";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis Pestoides A";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bubonic and Pneumonic plague";"Homo sapiens";"Human";"Host";"WFO Proposals";TRUE;TRUE
"PRJNA63995";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae CP1044(17)";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae genome sequencing project";TRUE;TRUE
"PRJNA72047";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sobrinus";"Streptococcus sobrinus TCI-200";"Catalase negative, Pathogen";"Dental Pathogen";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA63859";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae CP1041(14)";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae genome sequencing project";TRUE;TRUE
"PRJNA64087";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori NQ4161";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA59923";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 2070108";"Pathogen";"Human Pathogen, Medical";"Meningitis, Otitis media, Pneumonia";"Homo sapiens";"Human";"Host";"Pneumococcal meningitis isolates used for genomic comparisons";TRUE;TRUE
"PRJNA50907";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC1C";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA48969";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae Netherlands15B-37";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"";"Host";"Streptococcus pneumoniae Netherlands15B-37";TRUE;TRUE
"PRJNA53423";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii IS-116";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Unclassified";"Fresh water, Host, Human skin, Skin";"Diversity of US Military Acinetobacter baumannii-calcoaceticus Complex Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA82323";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Typhimurium ST1660/06";"";"Evolution";"Food poisoning";"Homo sapiens";"Human";"";"Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06";TRUE;TRUE
"PRJNA64223";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp P-1b";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA33153";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella";"Alloprevotella tannerae";"Prevotella tannerae ATCC 51259";"";"Human Microbiome Project (HMP), Medical";"Oral infection, Periodontal infection";"Homo sapiens";"Animal";"Host, Human oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA33623";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio parahaemolyticus";"Vibrio parahaemolyticus AQ4037";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis";"Homo sapiens";"Human";"Fresh water, Host";"Vibrio parahaemolyticus AQ4037";TRUE;TRUE
"PRJNA33569";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";"Brucella melitensis";"Brucella melitensis bv. 3 Ether";"Intracellular pathogen, Pathogen";"Biothreat, Human Pathogen, Mammal Pathogen, Medical";"Brucellosis";"Homo sapiens";"Human";"Host";"Brucella Genome Sequencing";TRUE;TRUE
"PRJNA49295";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiales Family XI. Incertae Sedis";"Parvimonas";"Parvimonas sp. oral taxon 110";"Parvimonas sp. oral taxon 110 F0139";"Pathogen";"Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Host, Human oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA80939";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Typhi P-stx-12";"";"Medical";"Typhoid fever";"Homo sapiens";"Human";"Host";"Salmonella enterica enterica sv. Enteritidis CDC_2010K_4708";TRUE;TRUE
"PRJNA28041";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae P1031";"Pathogen";"Comparative analysis, Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"";"Host, Human nasopharyngeal microflora";"Streptococcus pneumoniae P1031";TRUE;TRUE
"PRJNA39127";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Haemophilus";"Haemophilus influenzae";"Haemophilus influenzae RdAW";"Pathogen";"Human Pathogen, Medical";"Chronic bronchitis, Meningitis, Otitis media, Septicemia, Sinusitis";"Homo sapiens";"";"Host";"Haemophilus influenzae RdAW";TRUE;TRUE
"PRJNA51387";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Montevideo MB111609-0052";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Montevideo MB111609-0052";TRUE;TRUE
"PRJNA256479";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. typhimurium ATCC 13311";"";"Model Organism";"Typhoid fever";"Homo sapiens";"";"";"Salmonella enterica subsp. enterica serovar typhimurium ATCC 13311 Genome sequencing";TRUE;TRUE
"PRJNA29047";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae sv. 19F G54 (MLST ST63)";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Animal";"Host, Human nasopharyngeal microflora";"Streptococcus pneumoniae G54 (MLST ST63)";TRUE;TRUE
"PRJNA48717";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA16242";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA49385";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus hirae";"Enterococcus hirae ATCC 9790";"";"Medical";"Bacteremia, Endocarditis, Urinary infection";"Homo sapiens";"";"Host";"Enterococcus hirae ATCC 9790";TRUE;TRUE
"PRJNA48945";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 3063-00";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae 3063-00";TRUE;TRUE
"PRJNA13146";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Shigella";"Shigella boydii";"Shigella boydii sv. 4 Sb227 (re-annotation)";"Pathogen";"Human Pathogen, Medical";"Dysenteria, Food poisoning";"Homo sapiens";"Human";"Host";"Genome dynamics and diversity of Shigella species";TRUE;TRUE
"PRJNA61081";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis CU385";"Pathogen";"Comparative analysis, Human Pathogen, Medical";"Meningitis, Septicemia";"Homo sapiens";"";"Host";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
"PRJNA86197";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae FSL F2-338";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA72091";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-260";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA39021";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli H591";"Pathogen";"Animal Pathogen, Medical, Swine Pathogen";"Diarrhea";"";"";"Host, Human intestinal microflora";"Escherichia coli genome sequencing - Broad Institute";TRUE;TRUE
"PRJNA63829";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni MMD1562";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Mammals";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA50731";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae INV200 (ST 9, serotype 14)";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"";"Host";"Streptococcus pneumoniae INV200 (ST 9, serotype 14)";TRUE;TRUE
